,date_id,r1,r2,r3,r4,r5,r6,blue
167,4079,7,13,14,17,19,30,3
168,4080,3,8,20,23,24,26,16
169,4081,3,5,21,24,27,32,6
170,4082,3,20,24,27,29,30,15
171,4083,14,16,27,28,30,33,6
172,4084,1,4,8,11,21,25,14
173,4085,3,8,11,29,30,32,1
174,4086,10,13,18,19,25,27,1
175,4087,1,3,7,8,25,26,14
176,4088,2,10,19,22,24,32,14
177,4089,14,17,20,25,28,30,14
178,4090,1,18,20,24,32,33,12
179,4091,9,13,14,21,30,33,1
180,4092,1,4,8,13,28,31,2
181,4093,11,14,20,27,32,33,5
182,4094,5,9,10,13,24,25,8
183,4095,19,22,27,28,30,32,1
184,4096,1,4,12,16,20,30,15
185,4097,10,19,20,26,29,31,14
186,4098,3,12,13,25,26,31,3
187,4099,5,10,21,22,26,33,2
188,4100,6,8,9,14,24,33,15
189,4101,2,9,14,19,25,26,15
190,4102,3,9,12,15,28,32,1
191,4103,2,3,5,9,16,21,2
192,4104,7,11,17,18,24,29,5
193,4105,7,9,10,21,23,30,12
194,4106,10,15,23,26,28,29,12
195,4107,1,8,12,13,18,20,7
196,4108,8,13,14,27,28,31,12
197,4109,6,8,10,17,30,31,14
198,4110,14,19,20,21,22,31,11
199,4111,11,16,18,20,26,31,2
200,4112,9,13,15,21,26,33,6
201,4113,8,10,23,25,31,32,7
202,4114,1,6,9,17,21,22,1
203,4115,2,16,20,30,31,33,1
204,4116,1,3,5,8,14,33,3
205,4117,1,3,7,14,24,25,7
206,4118,3,4,7,12,30,31,15
207,4119,6,9,18,20,25,33,6
208,4120,7,8,18,21,27,32,10
209,4121,7,13,16,18,30,32,10
210,4122,3,11,14,22,24,31,15
211,5001,1,7,8,23,27,28,14
212,5002,6,9,20,26,28,33,14
213,5003,9,12,15,19,22,31,16
214,5004,1,4,8,9,22,23,3
215,5005,5,9,20,26,28,33,15
216,5006,2,4,5,15,21,31,16
217,5007,7,15,17,20,23,33,15
218,5008,11,19,22,27,32,33,11
219,5009,2,17,22,27,29,31,14
220,5010,8,10,11,18,25,26,1
221,5011,9,11,13,15,22,30,15
222,5012,2,3,6,16,22,31,5
223,5013,7,8,16,19,20,24,6
224,5014,13,19,21,23,30,32,5
225,5015,4,8,9,16,17,29,15
226,5016,1,5,6,12,16,30,15
227,5017,2,6,10,25,27,31,3
228,5018,1,3,6,22,23,25,6
229,5019,6,11,12,13,19,22,8
230,5020,14,16,19,20,25,29,5
231,5021,2,6,24,26,30,31,16
232,5022,8,10,12,21,32,33,4
233,5023,10,15,19,20,21,25,12
234,5024,5,9,14,27,31,32,13
235,5025,1,7,10,11,13,32,7
236,5026,6,12,14,20,25,26,7
237,5027,1,3,4,6,21,32,15
238,5028,4,9,22,25,26,32,10
239,5029,2,14,21,22,27,30,14
240,5030,1,5,9,14,22,28,5
241,5031,4,10,16,20,23,32,7
242,5032,5,15,19,20,25,29,3
243,5033,7,8,12,14,19,20,7
244,5034,5,17,18,25,28,32,9
245,5035,12,16,21,28,29,30,14
246,5036,12,19,20,21,26,31,15
247,5037,7,12,14,22,24,32,16
248,5038,4,7,11,20,27,28,16
249,5039,2,16,18,19,21,29,9
